City,total_deals,total_amount
Aachen,9,71000.0
Aalen,1,5000.0
Abensberg,1,11000.0
Achberg,1,3000.0
Adelebsen,1,11000.0
Adelschlag,1,11000.0
Ahad Al Masarihah,1,4000.0
Ahaus,1,11000.0
Ahrensburg,1,11000.0
Aichach,2,9000.0
Aichwald,1,5000.0
Aidlingen,1,11000.0
Ajman,1,4000.0
Alamudun,1,3500.0
Albstadt,1,2500.0
Aldenhoven,1,5000.0
Alfeld,2,22000.0
Allendorf,1,11000.0
Almaty,1,4000.0
Alsbach-Hähnlein,1,4000.0
Alsfeld,1,5000.0
Altenburg,1,11500.0
Altenkirchen,1,11000.0
Altenstadt,2,15000.0
Altlandsberg,1,11000.0
Altshausen,1,11500.0
Altötting,1,3500.0
Alzenau in Unterfranken,2,22000.0
Amberg,3,13000.0
Ampfing,1,11000.0
Annaberg-Buchholz,1,4000.0
Ansbach,4,42500.0
Apen,1,3500.0
Appen,1,5000.0
Arnsberg,4,44000.0
Arnstadt,1,2500.0
Aschaffenburg,6,66000.0
Aschersleben,1,11000.0
Astana,1,2500.0
Augsburg,12,110000.0
Aying,1,11000.0
Babenhausen,1,11000.0
Backnang,1,5000.0
Bad Abbach,1,11000.0
Bad Berleburg,1,5000.0
Bad Blankenburg,1,11000.0
Bad Driburg,1,11000.0
Bad Ems,1,3500.0
Bad Emstal,1,2500.0
Bad Essen,1,11000.0
Bad Feilnbach,1,11000.0
Bad Friedrichshall,1,4000.0
Bad Gottleuba-Berggießhübel,1,11000.0
Bad Hersfeld,1,4500.0
Bad Hindelang,1,11000.0
Bad Homburg vor der Höhe,2,15500.0
Bad Hönningen,1,3500.0
Bad Nauheim,3,27000.0
Bad Oeynhausen,3,19000.0
Bad Pyrmont,2,22000.0
Bad Saulgau,1,4000.0
Bad Schwalbach,1,11000.0
Bad Segeberg,1,11000.0
Bad Soden am Taunus,1,3500.0
Bad Tölz,2,16000.0
Bad Vilbel,1,11000.0
Bad Wildbad im Schwarzwald,2,15000.0
Bad Wildungen,1,11000.0
Bad Windsheim,1,11000.0
Bad Wörishofen,1,11000.0
Baden-Baden,2,15000.0
Baesweiler,1,11000.0
Baiersbronn,1,11500.0
Baku,1,2000.0
Bamberg,2,22500.0
Bassum,1,3500.0
Bat yam,1,4000.0
Bautzen,1,9000.0
Bayreuth,2,22500.0
Beckingen,1,11500.0
Beilstein,1,11000.0
Belgrade,1,3500.0
Bergheim,2,13000.0
Bergisch Gladbach,3,33000.0
Bergneustadt,1,11000.0
Berlin,173,1473800.0
Bernau,2,14500.0
Beverungen,1,11000.0
Bialystok,2,8000.0
Biberach,2,14500.0
Bielefeld,6,43200.0
Bingen,2,14000.0
Binzen,2,16000.0
Birkenfeld,1,5000.0
Birstein,1,11000.0
Bitterfeld-Wolfen,1,4000.0
Blankenburg,1,4500.0
Blankenfelde,1,2900.0
Blumberg,1,11000.0
Bobingen,1,11000.0
Bochum,13,118500.0
Bonn,9,76000.0
Bopfingen,2,22000.0
Boppard,2,8000.0
Borken,2,13500.0
Borna,1,11000.0
Brake,1,11000.0
Brakel,1,11000.0
Brandenburg an der Havel,2,22000.0
Braubach,1,11000.0
Braunfels,1,11000.0
Braunschweig,10,84000.0
Bremen,15,149000.0
Bremerhaven,1,11000.0
Bretten,1,11000.0
Bruchköbel,1,11000.0
Bruck,1,5000.0
Brühl,1,5000.0
Buchholz,2,22000.0
Burbach,1,4000.0
Burg,2,16000.0
Burghausen,2,9500.0
Buttstädt,1,11000.0
Buxtehude,1,11000.0
Bärnau,1,9000.0
Böblingen,2,22000.0
Böhlen,1,5000.0
Büchen,2,22000.0
